Period (s),Power (dB[m^2/s^4/Hz])
0.02,-91.0
0.0218101546533,-92.0
0.0237841423001,-94.0
0.025936791093,-94.0
0.0282842712475,-95.0
0.0308442165082,-98.0
0.0336358566101,-99.0
0.0366801617282,-101.0
0.04,-102.0
0.0436203093066,-102.0
0.0475682846001,-102.0
0.051873582186,-102.0
0.0565685424949,-103.0
0.0616884330163,-103.0
0.0672717132203,-103.0
0.0733603234564,-103.0
0.08,-104.0
0.0872406186132,-105.0
0.0951365692002,-106.0
0.103747164372,-108.0
0.11313708499,-109.0
0.123376866033,-110.0
0.134543426441,-111.0
0.146720646913,-112.0
0.16,-113.0
0.174481237226,-113.0
0.1902731384,-114.0
0.207494328744,-114.0
0.22627416998,-114.0
0.246753732065,-114.0
0.269086852881,-114.0
0.293441293825,-114.0
0.32,-114.0
0.348962474453,-114.0
0.380546276801,-115.0
0.414988657488,-115.0
0.452548339959,-116.0
0.493507464131,-117.0
0.538173705762,-118.0
0.586882587651,-118.0
0.64,-119.0
0.697924948906,-119.0
0.761092553602,-118.0
0.829977314977,-117.0
0.905096679919,-114.0
0.987014928261,-112.0
1.07634741152,-110.0
1.1737651753,-108.0
1.28,-107.0
1.39584989781,-105.0
1.5221851072,-104.0
1.65995462995,-102.0
1.81019335984,-101.0
1.97402985652,-100.0
2.15269482305,-100.0
2.3475303506,-99.0
2.56,-99.0
2.79169979562,-98.0
3.04437021441,-98.0
3.31990925991,-98.0
3.62038671968,-99.0
3.94805971304,-99.0
4.3053896461,-100.0
4.69506070121,-102.0
5.12,-104.0
5.58339959125,-105.0
6.08874042881,-107.0
6.63981851981,-109.0
7.24077343935,-112.0
7.89611942609,-115.0
8.6107792922,-120.0
9.39012140242,-123.0
10.24,-127.0
11.1667991825,-131.0
12.1774808576,-134.0
13.2796370396,-137.0
14.4815468787,-139.0
15.7922388522,-139.0
17.2215585844,-139.0
18.7802428048,-139.0
20.48,-139.0
22.333598365,-140.0
24.3549617153,-140.0
26.5592740793,-140.0
28.9630937574,-140.0
31.5844777044,-140.0
34.4431171688,-140.0
37.5604856097,-141.0
40.96,-140.0
44.66719673,-140.0
48.7099234305,-140.0
53.1185481585,-140.0
57.9261875148,-140.0
63.1689554087,-139.0
68.8862343376,-139.0
75.1209712193,-139.0
81.92,-139.0
89.3343934599,-139.0
97.419846861,-137.0
106.237096317,-136.0
115.85237503,-133.0
126.337910817,-133.0
137.772468675,-132.0
150.241942439,-132.0
163.84,-128.0
178.66878692,-128.0
194.839693722,-127.0
212.474192634,-127.0
231.704750059,-122.0
252.675821635,-122.0
275.54493735,-122.0
300.483884877,-122.0
327.68,-119.0
357.33757384,-119.0
389.679387444,-119.0
424.948385268,-119.0
463.409500118,-111.0
505.35164327,-111.0
551.089874701,-111.0
600.967769755,-111.0
655.36,-111.0
